product_id,product_length,product_depth,product_width,cluster_id,hierarchy1_id,hierarchy2_id,hierarchy3_id,hierarchy4_id,hierarchy5_id,product_name,product_location,product_description,rack_location,price,stock_quantity,discounts
P0000,5.0,20.0,12.0,,H00,H0004,H000401,H00040105,H0004010534,Vacuum Cleaner,Living Room,Powerful and quiet vacuum cleaner for deep cleaning,"1st Floor, Rack 1",437.0,35,10% discount
P0001,13.5,22.0,20.0,cluster_5,H01,H0105,H010501,H01050100,H0105010006,Microwave Oven,Kitchen,Compact microwave with smart settings and fast heating,"1st Floor, Rack 3",956.0,12,10% discount
P0002,22.0,40.0,22.0,cluster_0,H03,H0315,H031508,H03150800,H0315080028,Refrigerator,Kitchen,Stainless steel refrigerator with energy star rating,"1st Floor, Rack 3",759.0,42,10% discount
P0004,2.0,13.0,4.0,cluster_3,H03,H0314,H031405,H03140500,H0314050003,Coffee Maker,Kitchen,Programmable coffee maker with a built-in grinder,"1st Floor, Rack 3",639.0,2,10% discount
P0005,16.0,30.0,16.0,cluster_9,H03,H0312,H031211,H03121109,H0312110917,Electric Kettle,Kitchen,Quick boiling electric kettle with automatic shut-off,"1st Floor, Rack 3",240.0,32,10% discount
P0006,8.5,15.0,15.0,cluster_0,H03,H0316,H031608,H03160817,H0316081708,Toaster,Kitchen,Two-slice toaster with adjustable browning settings,"1st Floor, Rack 3",240.0,5,10% discount
P0007,2.0,22.0,9.5,cluster_4,H03,H0313,H031305,H03130519,H0313051904,Blender,Kitchen,High-speed blender perfect for smoothies and soups,"1st Floor, Rack 3",152.0,49,10% discount
P0008,5.0,16.0,5.0,cluster_0,H00,H0000,H000004,H00000400,H0000040017,Slow Cooker,Kitchen,6-quart slow cooker with automatic keep-warm feature,"1st Floor, Rack 3",880.0,9,10% discount
P0009,5.0,18.0,14.0,cluster_6,H00,H0002,H000201,H00020100,H0002010012,Air Fryer,Kitchen,Multipurpose air fryer for healthier fried foods,"1st Floor, Rack 3",641.0,4,10% discount
P0010,2.0,22.0,3.0,cluster_0,H01,H0108,H010801,H01080109,H0108010917,Washing Machine,Laundry Room,High-efficiency washing machine with multiple cycles,"1st Floor, Rack 4",737.0,22,15% discount
P0011,9.0,22.0,15.0,cluster_0,H03,H0315,H031506,H03150612,H0315061202,Dryer,Laundry Room,Electric dryer with moisture sensor for optimal drying,"1st Floor, Rack 4",119.0,9,15% discount
P0012,10.0,20.0,12.3,cluster_0,H01,H0107,H010702,H01070210,H0107021001,Iron,Utility Room,Steam iron with non-stick plate and auto shut-off,"1st Floor, Rack 5",973.0,43,10% discount
P0013,7.1,27.5,13.7,,H01,H0105,H010503,H01050309,H0105030906,Mop,Utility Room,Microfiber mop with reusable pads for easy cleaning,"1st Floor, Rack 5",849.0,1,10% discount
P0014,32.5,6.0,33.0,cluster_0,H03,H0313,H031302,H03130205,H0313020501,Broom,Utility Room,Sturdy broom for indoor and outdoor cleaning,"1st Floor, Rack 5",291.0,12,10% discount
P0015,10.0,33.0,10.0,cluster_1,H00,H0000,H000003,H00000309,H0000030901,Lint Roller,Utility Room,Sticky lint roller for quick clothing touch-ups,"1st Floor, Rack 5",264.0,39,10% discount
P0016,2.0,18.0,8.0,cluster_0,H00,H0004,H000401,H00040105,H0004010512,Dish Soap,Kitchen,Biodegradable dish soap that cuts through grease,"1st Floor, Rack 3",265.0,1,10% discount
P0017,8.0,28.0,8.0,cluster_6,H00,H0000,H000003,H00000310,H0000031001,Laundry Detergent,Laundry Room,High-efficiency laundry detergent pods for convenience,"1st Floor, Rack 4",374.0,19,15% discount
P0018,1.0,14.0,11.0,cluster_4,H00,H0003,H000316,H00031609,H0003160922,Trash Can,Kitchen,Touchless trash can with motion sensor operation,"1st Floor, Rack 3",572.0,0,10% discount
P0019,1.5,42.0,32.0,cluster_0,H03,H0312,H031201,H03120100,H0312010004,Storage Bins,Garage,Clear storage bins with lids for organizing,"1st Floor, Rack 6",489.0,36,5% discount
P0020,5.0,28.0,16.0,cluster_0,H03,H0311,H031109,H03110901,H0311090101,Cleaning Spray,Cleaning Supplies,Multipurpose cleaning spray for all surfaces,"1st Floor, Rack 7",362.0,8,10% discount
P0021,8.0,26.0,23.0,cluster_0,H03,H0313,H031302,H03130210,H0313021002,Sponges,Cleaning Supplies,Pack of non-scratch sponges for gentle cleaning,"1st Floor, Rack 7",651.0,16,10% discount
P0022,5.7,18.6,10.1,cluster_0,H01,H0108,H010809,H01080900,H0108090012,Paper Towels,Kitchen,High-absorbency paper towels,"1st Floor, Rack 3",226.0,8,10% discount
P0023,1.0,1.0,1.0,,H00,H0004,H000403,H00040305,H0004030536,Trash Bags,Kitchen,Extra strong trash bags with drawstring closure,"1st Floor, Rack 3",363.0,10,10% discount
P0024,1.0,23.0,16.0,cluster_0,H03,H0314,H031404,H03140407,H0314040701,Dish Towel,Kitchen,Soft and absorbent dish towels for drying dishes,"1st Floor, Rack 3",430.0,14,10% discount
P0025,33.0,6.0,20.0,cluster_0,H03,H0312,H031207,H03120710,H0312071003,Tableware Set,Dining Room,Complete tableware set for family meals,"1st Floor, Rack 8",510.0,23,15% discount
P0026,4.0,22.0,16.0,cluster_6,H00,H0002,H000201,H00020105,H0002010522,Cutlery Set,Dining Room,Stainless steel cutlery set with 16 pieces,"1st Floor, Rack 8",807.0,37,15% discount
P0027,5.0,28.0,16.0,cluster_0,H03,H0311,H031108,H03110805,H0311080502,Coffee Mugs,Dining Room,Set of ceramic coffee mugs with modern design,"1st Floor, Rack 8",280.0,34,15% discount
P0028,3.4,11.3,12.0,cluster_0,H03,H0313,H031302,H03130210,H0313021001,Glassware,Dining Room,Clear glassware for smoothies and beverages,"1st Floor, Rack 8",563.0,29,15% discount
P0029,2.5,18.0,8.0,cluster_0,H03,H0315,H031504,H03150411,H0315041131,Candles,Living Room,Aromatherapy candles for a relaxing atmosphere,"1st Floor, Rack 1",633.0,30,10% discount
P0030,9.0,9.0,37.0,cluster_0,H03,H0312,H031205,H03120508,H0312050800,Picture Frames,Living Room,Wooden picture frames for family photos,"1st Floor, Rack 1",142.0,48,10% discount
P0031,,,,cluster_0,H00,H0004,H000402,H00040212,H0004021202,Throw Blankets,Living Room,Soft throw blanket for cozy warmth,"1st Floor, Rack 1",647.0,4,10% discount
P0032,5.0,12.0,4.0,cluster_0,H03,H0312,H031207,H03120710,H0312071025,Coasters,Living Room,Set of decorative coasters to protect surfaces,"1st Floor, Rack 1",253.0,43,10% discount
P0033,5.0,28.0,16.0,cluster_0,H03,H0311,H031109,H03110900,H0311090001,Houseplants,Living Room,Low-maintenance indoor plants for fresh air,"1st Floor, Rack 1",159.0,49,10% discount
